	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
1229	2013-01-25	48,674,849	4,801,805,861	99.9	99.9	98.0	99.0	-0.90	11,885	2013-01-25	99.0	99.9	99.0	-0.9000000000000057
1230	2013-01-28	29,190,978	2,893,310,122	98.7	99.5	98.6	99.3	+0.30	7,200	2013-01-28	99.3	98.7	99.3	0.5999999999999943
1231	2013-01-29	36,060,537	3,624,866,512	100.0	101.5	99.7	101.0	+1.70	12,071	2013-01-29	101.0	100.0	101.0	1.0
1232	2013-01-30	28,862,623	2,923,728,423	102.0	102.0	100.5	101.5	+0.50	6,963	2013-01-30	101.5	102.0	101.5	-0.5
1233	2013-01-31	42,489,565	4,266,277,265	100.5	101.5	100.0	101.5	 0.00	6,481	2013-01-31	101.5	100.5	101.5	1.0
1234	2013-02-01	23,211,035	2,343,091,003	101.5	101.5	100.5	101.5	 0.00	7,596	2013-02-01	101.5	101.5	101.5	0.0
1235	2013-02-04	35,257,079	3,618,099,182	102.0	103.0	102.0	103.0	+1.50	10,873	2013-02-04	103.0	102.0	103.0	1.0
1236	2013-02-05	17,896,471	1,832,150,196	103.0	103.0	101.5	103.0	 0.00	5,200	2013-02-05	103.0	103.0	103.0	0.0
1237	2013-02-06	32,330,330	3,369,267,370	103.5	105.0	103.0	105.0	+2.00	9,340	2013-02-06	105.0	103.5	105.0	1.5
1238	2013-02-18	64,345,580	6,895,059,371	107.0	108.5	106.5	107.0	+2.00	13,470	2013-02-18	107.0	107.0	107.0	0.0
1239	2013-02-19	22,103,657	2,372,380,213	108.5	108.5	106.5	107.0	 0.00	6,114	2013-02-19	107.0	108.5	107.0	-1.5
1240	2013-02-20	41,921,556	4,558,604,798	108.5	109.5	108.0	109.0	+2.00	10,171	2013-02-20	109.0	108.5	109.0	0.5
1241	2013-02-21	30,551,806	3,287,642,271	108.5	108.5	107.0	107.0	-2.00	7,485	2013-02-21	107.0	108.5	107.0	-1.5
1242	2013-02-22	39,577,666	4,188,440,636	106.0	106.5	105.0	105.5	-1.50	10,313	2013-02-22	105.5	106.0	105.5	-0.5
1243	2013-02-23	10,174,533	1,083,855,709	106.5	107.5	106.0	107.0	+1.50	3,022	2013-02-23	107.0	106.5	107.0	0.5
