	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
402	2015-06-24	21,134,324	3,054,456,980	144.5	145.0	143.5	145.0	+0.50	7,362	2015-06-24	145.0	144.5	145.0	0.5
403	2015-06-25	45,571,067	6,670,295,223	145.0	147.0	145.0	146.5	+1.50	11,443	2015-06-25	146.5	145.0	146.5	1.5
404	2015-06-26	34,170,981	4,994,996,846	147.0	147.5	145.5	146.0	-0.50	10,199	2015-06-26	146.0	147.0	146.0	-1.0
405	2015-06-29	53,096,169	7,415,992,660	140.5	141.0	138.5	138.5	X0.00	20,523	2015-06-29	138.5	140.5	138.5	-2.0
406	2015-06-30	45,375,815	6,336,988,915	139.0	140.5	138.5	140.5	+2.00	15,871	2015-06-30	140.5	139.0	140.5	1.5
407	2015-07-01	33,330,373	4,704,327,416	140.0	142.5	139.0	141.0	+0.50	9,303	2015-07-01	141.0	140.0	141.0	1.0
408	2015-07-02	24,309,420	3,434,751,403	140.5	142.0	140.5	141.5	+0.50	6,836	2015-07-02	141.5	140.5	141.5	1.0
409	2015-07-03	17,091,230	2,414,975,440	141.5	142.5	140.0	142.5	+1.00	6,179	2015-07-03	142.5	141.5	142.5	1.0
410	2015-07-06	20,683,912	2,913,509,592	141.0	141.5	140.5	140.5	-2.00	7,067	2015-07-06	140.5	141.0	140.5	-0.5
411	2015-07-07	26,545,982	3,750,582,962	141.0	142.0	140.5	140.5	 0.00	8,780	2015-07-07	140.5	141.0	140.5	-0.5
412	2015-07-08	52,066,084	7,229,638,176	140.5	141.0	138.0	138.0	-2.50	15,496	2015-07-08	138.0	140.5	138.0	-2.5
413	2015-07-09	53,784,773	7,323,598,974	134.0	138.0	134.0	136.5	-1.50	12,715	2015-07-09	136.5	134.0	136.5	2.5
414	2015-07-13	35,404,791	4,886,264,549	137.0	139.5	137.0	138.5	+2.00	11,386	2015-07-13	138.5	137.0	138.5	1.5
415	2015-07-14	27,574,220	3,833,141,080	139.5	140.5	138.0	138.5	 0.00	7,319	2015-07-14	138.5	139.5	138.5	-1.0
416	2015-07-15	23,485,780	3,254,659,920	139.0	139.5	138.0	138.5	 0.00	8,278	2015-07-15	138.5	139.0	138.5	-0.5
417	2015-07-16	37,250,129	5,121,828,673	140.0	140.0	135.5	136.5	-2.00	11,167	2015-07-16	136.5	140.0	136.5	-3.5
418	2015-07-17	55,848,153	7,769,816,420	138.0	140.0	138.0	140.0	+3.50	14,284	2015-07-17	140.0	138.0	140.0	2.0
419	2015-07-20	27,906,576	3,902,530,824	141.5	142.0	138.5	139.0	-1.00	11,095	2015-07-20	139.0	141.5	139.0	-2.5
420	2015-07-21	21,857,010	3,068,308,230	141.0	141.5	139.5	140.5	+1.50	5,806	2015-07-21	140.5	141.0	140.5	-0.5
421	2015-07-22	27,408,864	3,802,971,061	139.0	139.5	138.0	139.0	-1.50	9,026	2015-07-22	139.0	139.0	139.0	0.0
422	2015-07-23	38,176,255	5,216,033,345	137.0	137.5	136.0	136.0	-3.00	11,509	2015-07-23	136.0	137.0	136.0	-1.0
423	2015-07-24	39,062,686	5,342,465,602	138.0	138.0	136.0	137.0	+1.00	10,517	2015-07-24	137.0	138.0	137.0	-1.0
424	2015-07-27	45,080,466	6,060,338,122	135.0	135.5	134.0	134.0	-3.00	13,816	2015-07-27	134.0	135.0	134.0	-1.0
425	2015-07-28	35,777,744	4,833,495,065	135.0	136.5	134.0	134.0	 0.00	9,966	2015-07-28	134.0	135.0	134.0	-1.0
426	2015-07-29	30,500,205	4,119,983,712	135.0	136.0	134.5	135.5	+1.50	7,453	2015-07-29	135.5	135.0	135.5	0.5
427	2015-07-30	37,085,996	5,121,289,968	136.0	139.0	136.0	138.5	+3.00	10,767	2015-07-30	138.5	136.0	138.5	2.5
428	2015-07-31	40,479,318	5,626,919,922	140.5	140.5	137.5	139.5	+1.00	9,383	2015-07-31	139.5	140.5	139.5	-1.0
429	2015-08-03	33,815,561	4,581,161,735	138.5	138.5	134.5	134.5	-5.00	12,990	2015-08-03	134.5	138.5	134.5	-4.0
430	2015-08-04	27,514,927	3,727,032,372	135.0	136.5	134.5	136.5	+2.00	8,099	2015-08-04	136.5	135.0	136.5	1.5
431	2015-08-05	28,577,967	3,847,991,545	135.5	135.5	134.0	134.0	-2.50	9,154	2015-08-05	134.0	135.5	134.0	-1.5
432	2015-08-06	39,658,057	5,305,805,578	136.0	136.0	132.0	134.0	 0.00	13,110	2015-08-06	134.0	136.0	134.0	-2.0
433	2015-08-07	30,591,687	4,053,463,871	133.0	133.5	131.5	133.0	-1.00	11,911	2015-08-07	133.0	133.0	133.0	0.0
434	2015-08-10	65,582,829	8,428,219,770	131.0	131.0	125.5	129.0	-4.00	23,713	2015-08-10	129.0	131.0	129.0	-2.0
435	2015-08-11	65,988,387	8,701,858,164	133.5	133.5	130.5	130.5	+1.50	18,947	2015-08-11	130.5	133.5	130.5	-3.0
436	2015-08-12	45,838,052	5,897,521,548	129.5	130.0	127.5	128.5	-2.00	12,740	2015-08-12	128.5	129.5	128.5	-1.0
437	2015-08-13	43,697,151	5,611,218,672	129.0	130.0	127.5	128.0	-0.50	11,405	2015-08-13	128.0	129.0	128.0	-1.0
438	2015-08-14	40,366,795	5,093,780,530	128.0	128.5	125.0	126.0	-2.00	13,469	2015-08-14	126.0	128.0	126.0	-2.0
439	2015-08-17	38,956,377	4,826,111,748	125.5	125.5	123.0	124.0	-2.00	14,068	2015-08-17	124.0	125.5	124.0	-1.5
440	2015-08-18	41,823,656	5,252,723,656	125.0	126.5	125.0	126.0	+2.00	11,837	2015-08-18	126.0	125.0	126.0	1.0
441	2015-08-19	47,213,363	5,917,827,915	127.5	127.5	124.0	125.0	-1.00	11,362	2015-08-19	125.0	127.5	125.0	-2.5
442	2015-08-20	38,767,923	4,841,207,748	124.5	126.0	123.5	126.0	+1.00	8,015	2015-08-20	126.0	124.5	126.0	1.5
443	2015-08-21	67,341,681	8,241,493,111	123.0	124.5	121.0	121.0	-5.00	15,912	2015-08-21	121.0	123.0	121.0	-2.0
444	2015-08-24	118,882,318	13,766,338,730	120.0	121.0	112.5	115.0	-6.00	25,681	2015-08-24	115.0	120.0	115.0	-5.0
445	2015-08-25	99,479,290	12,096,689,497	118.0	124.0	117.5	123.5	+8.50	27,240	2015-08-25	123.5	118.0	123.5	5.5
446	2015-08-26	65,899,783	8,066,184,686	121.0	124.5	119.5	122.5	-1.00	17,863	2015-08-26	122.5	121.0	122.5	1.5
447	2015-08-27	53,549,076	6,648,501,174	125.0	125.0	122.0	124.0	+1.50	14,964	2015-08-27	124.0	125.0	124.0	-1.0
448	2015-08-28	41,879,827	5,251,054,885	127.0	127.0	124.5	125.0	+1.00	12,018	2015-08-28	125.0	127.0	125.0	-2.0
449	2015-08-31	57,088,355	7,220,131,440	126.0	129.0	123.5	129.0	+4.00	12,112	2015-08-31	129.0	126.0	129.0	3.0
450	2015-09-01	42,394,536	5,307,014,000	127.5	127.5	124.0	124.0	-5.00	14,184	2015-09-01	124.0	127.5	124.0	-3.5
451	2015-09-02	37,232,124	4,657,522,507	123.0	127.0	123.0	125.5	+1.50	12,205	2015-09-02	125.5	123.0	125.5	2.5
452	2015-09-03	24,054,041	3,037,526,707	127.5	127.5	125.0	127.0	+1.50	7,059	2015-09-03	127.0	127.5	127.0	-0.5
453	2015-09-04	23,047,166	2,886,200,250	126.5	127.0	123.5	125.0	-2.00	8,111	2015-09-04	125.0	126.5	125.0	-1.5
454	2015-09-07	26,152,920	3,228,675,340	124.5	126.0	122.0	122.5	-2.50	10,743	2015-09-07	122.5	124.5	122.5	-2.0
455	2015-09-08	15,112,954	1,857,557,798	122.5	123.5	122.0	123.0	+0.50	5,645	2015-09-08	123.0	122.5	123.0	0.5
456	2015-09-09	53,969,621	6,910,196,909	126.5	129.0	126.5	129.0	+6.00	19,715	2015-09-09	129.0	126.5	129.0	2.5
457	2015-09-10	34,029,707	4,288,394,042	127.0	128.0	125.0	125.0	-4.00	10,207	2015-09-10	125.0	127.0	125.0	-2.0
458	2015-09-11	24,548,989	3,097,236,675	125.5	127.5	124.0	127.5	+2.50	7,250	2015-09-11	127.5	125.5	127.5	2.0
459	2015-09-14	25,582,357	3,261,310,994	128.0	129.0	126.0	127.5	 0.00	8,062	2015-09-14	127.5	128.0	127.5	-0.5
460	2015-09-15	22,223,400	2,806,493,840	127.5	128.0	125.5	126.0	-1.50	7,271	2015-09-15	126.0	127.5	126.0	-1.5
461	2015-09-16	44,137,380	5,691,421,260	128.0	130.0	127.5	129.5	+3.50	14,052	2015-09-16	129.5	128.0	129.5	1.5
462	2015-09-17	52,529,479	6,868,009,789	130.5	131.5	130.0	131.0	+1.50	16,702	2015-09-17	131.0	130.5	131.0	0.5
463	2015-09-18	32,590,064	4,261,707,884	129.5	131.5	129.0	131.5	+0.50	7,572	2015-09-18	131.5	129.5	131.5	2.0
464	2015-09-21	35,271,713	4,552,208,310	130.0	130.0	128.5	129.5	-2.00	7,636	2015-09-21	129.5	130.0	129.5	-0.5
465	2015-09-22	18,378,270	2,374,696,906	130.0	130.0	128.5	129.0	-0.50	6,249	2015-09-22	129.0	130.0	129.0	-1.0
466	2015-09-23	35,523,040	4,465,469,498	127.0	127.5	124.5	124.5	-4.50	15,209	2015-09-23	124.5	127.0	124.5	-2.5
467	2015-09-24	44,708,932	5,671,247,864	127.0	128.0	125.5	127.0	+2.50	12,056	2015-09-24	127.0	127.0	127.0	0.0
468	2015-09-25	24,688,657	3,121,881,939	127.0	127.5	125.0	127.0	 0.00	9,166	2015-09-25	127.0	127.0	127.0	0.0
469	2015-09-30	76,377,100	9,885,619,568	128.0	131.0	127.0	130.0	+3.00	17,686	2015-09-30	130.0	128.0	130.0	2.0
470	2015-10-01	53,400,609	7,046,980,737	131.0	134.0	129.5	133.5	+3.50	15,465	2015-10-01	133.5	131.0	133.5	2.5
471	2015-10-02	25,252,357	3,337,391,624	132.5	132.5	131.5	132.0	-1.50	7,698	2015-10-02	132.0	132.5	132.0	-0.5
472	2015-10-05	30,895,136	4,096,025,572	133.0	133.5	131.5	132.5	+0.50	9,279	2015-10-05	132.5	133.0	132.5	-0.5
473	2015-10-06	49,925,004	6,677,173,341	135.0	135.5	132.5	133.0	+0.50	13,880	2015-10-06	133.0	135.0	133.0	-2.0
474	2015-10-07	32,541,468	4,380,090,918	133.5	135.0	133.0	135.0	+2.00	9,911	2015-10-07	135.0	133.5	135.0	1.5
475	2015-10-08	32,054,985	4,365,954,735	137.0	137.0	135.0	136.0	+1.00	11,299	2015-10-08	136.0	137.0	136.0	-1.0
476	2015-10-12	51,617,728	7,125,126,614	137.0	139.0	136.5	138.5	+2.50	13,186	2015-10-12	138.5	137.0	138.5	1.5
477	2015-10-13	37,227,089	5,105,783,075	138.5	138.5	136.0	137.5	-1.00	11,289	2015-10-13	137.5	138.5	137.5	-1.0
478	2015-10-14	65,521,186	8,795,254,492	136.5	137.5	136.0	136.5	-1.00	5,612	2015-10-14	136.5	136.5	136.5	0.0
479	2015-10-15	73,316,434	10,255,043,760	139.0	141.0	139.0	140.0	+3.50	18,548	2015-10-15	140.0	139.0	140.0	1.0
480	2015-10-16	37,189,898	5,091,352,293	137.0	137.5	136.0	137.5	-2.50	16,088	2015-10-16	137.5	137.0	137.5	0.5
481	2015-10-19	26,173,538	3,606,826,449	138.5	139.0	137.0	138.0	+0.50	9,085	2015-10-19	138.0	138.5	138.0	-0.5
482	2015-10-20	28,795,564	3,984,111,090	139.0	139.0	137.5	139.0	+1.00	8,838	2015-10-20	139.0	139.0	139.0	0.0
483	2015-10-21	20,006,939	2,770,902,949	139.5	140.0	137.5	138.5	-0.50	7,624	2015-10-21	138.5	139.5	138.5	-1.0
484	2015-10-22	15,168,792	2,089,852,382	138.0	138.5	137.0	137.5	-1.00	4,864	2015-10-22	137.5	138.0	137.5	-0.5
